"Number of Form I-821D,Consideration of Deferred Action for Childhood",,,,,,,
"Arrivals, Status, by Fiscal Year, Quarter, and Case Status:",,,,,,,
"Aug. 15, 2012-Mar. 31, 2020",,,,,,,
Requests by Intake and Case Status,,,,,,,
1,,,,,,6,
,,,Intake,,Case Review,,
,Requests,Requests,Total Requests,Average,,,
Period,2Accepted,3Rejected,4Received,5Accepted/Day,Approved7,Denied8,Pending9
Fiscal Year - Total,,,,,,,
2012,"152,430","5,396","157,826","3,629","1,684",-,"150,746"
2013,"427,612","16,355","443,967","1,696","470,603","11,023","96,719"
2014,"238,897","24,890","263,787",951,"158,417","21,103","156,034"
2014 Initial,"122,473","19,065","141,538",487,"136,182","21,100","61,850"
2014 Renewal,"116,424","5,825","122,249",463,"22,235",D,"94,184"
2015,"448,844","35,504","484,348","1,781","510,341","21,551","72,888"
2015 Initial,"85,300","7,170","92,470",338,"90,831","19,185","37,062"
2015 Renewal,"363,544","28,334","391,878","1,442","419,510","2,366","35,826"
2016,"260,701","12,317","273,018","1,034","198,557","14,486","119,670"
2016 Initial,"73,347","1,151","74,498",291,"52,737","11,434","45,389"
2016 Renewal,"187,354","11,166","198,520",743,"145,820","3,052","74,281"
2017,"472,850","43,455","516,305","1,883","461,911","13,196","117,324"
2017 Initial,"45,593",44,"45,637",181,"47,133","9,165","34,630"
2017 Renewal,"427,257","43,411","470,668","1,702","414,778","4,031","82,694"
2018,"260,120","29,651","289,771","1,036","319,382","12,539","45,488"
2018 Initial,"2,060",D,"2,062",D,"24,392","8,250","4,036"
2018 Renewal,"258,060","29,649","287,709","1,028","294,990","4,289","41,452"
2019,"386,158","22,004","408,162","1,532","387,642","4,951","39,022"
2019 Initial,"1,572",D,"1,576",D,"1,781","1,605","2,216"
2019 Renewal,"384,586","22,000","406,586","1,526","385,861","3,346","36,806"
2020,"151,298","7,921","159,219","1,220","138,426","2,240","49,641"
2020 Initial,"1,750",D,"1,752",14,655,376,"2,932"
2020 Renewal,"149,548","7,919","157,467","1,206","137,771","1,864","46,709"
Total Cumulative,"2,798,910","197,493","2,996,403","1,452","2,646,963","101,089","49,641"
Total Cumulative Initial,"912,137","49,189","961,326",473,"825,998","82,138","2,932"
Total Cumulative Renewal,"1,886,773","148,304","2,035,077",979,"1,820,965","18,951","46,709"

,,Requests by Intake and Case Status,,,,,
,,Intake1,,,Case Review 6,,
Period,Requests2Accepted,Requests3Rejected,Total Requests4Received,Average 5Accepted/Day,Approved7,Denied8,Pending9
Fiscal Year 2020 by Quarter,,,,,,,
Q1. October - December,"72,371","4,176","76,547","1,167","74,079","1,036","36,270"
Q1. October - December Initial,925,D,927,14,245,160,"2,734"
Q1. October - December Renewal,"71,446","4,174","75,620","1,152","73,834",876,"33,536"
Q2. January - March,"78,927","3,745","82,672","1,273","64,347","1,204","49,641"
Q2. January - March Initial,825,-,825,13,410,216,"2,932"
Q2. January - March Renewal,"78,102","3,745","81,847","1,259","63,937",988,"46,709"

Table Key
D Data withheld to protect petitioners' privacy.
- Represents zero.
Footnotes
1Refers to a request for USCIS to consider deferred removal action for an individual based on guidelines described in the Secretary of Homeland Security's
"memorandum issued June 15, 2012."
Each request is considered on a case-by-case basis.
See http://www.uscis.gov/childhoodarrivals.
2The number of new requests accepted at a Lockbox during the reporting period.
3The number of requests rejected at a Lockbox during the reporting period.
4The number of requests that were received at a Lockbox during the reporting period.
5The number of requests accepted per day at a Lockbox as of the end of the reporting period. Also note the average accepted per day for initial plus renewal will not
equal the total average.
6The number of new requests received and entered into a case-tracking system during the reporting period.
7The number of requests approved during the reporting period.
"8The number of requests that were denied, terminated, or withdrawn during the reporting period."
9The number of requests awaiting a decision as of the end of the reporting period.
NOTE: 1) Some requests approved or denied may have been received in previous reporting periods.
2) The report reflects the most up-to-date estimate available at the time the report is generated.
"3) USCIS previously discovered that the query code used to generate this report had some flaws affecting the data in the “Pending” fields, such that the data in"
"this field was over inclusive because it included cases that were not pending (e.g., cases that had been administratively closed or withdrawn). USCIS believes that it"
has corrected this issue in the query code and that this report provides a more accurate reflection of pending cases. Note that if this report is compared to versions
"prior to the March 31, 2018 version that USCIS has published on its website, the prior versions reflect over inclusive data in the “Pending” fields."
4) The Quarterly Report totals may not match the totals provided within the Demographics Reports due to differences in how the data is generated.
"5) USCIS previously discovered that the query code used to generate this report had some flaws affecting the data in the “Approved” and ""Denied"" fields, such"
that the data in this field was under reported because it did not include certain history action codes that are counted as approvals or denials. USCIS believes that it
has corrected this issue in the query code and that this report provides a more accurate reflection of approved and denied cases. Note that if this report is compared
"to versions prior to the March 31, 2019 version that USCIS has published on its website, the prior versions reflect under reported data in the “Approved” and ""Denied"""
"fields. The increase in the ""Approved"" and ""Denied"" counts has decreased the ""Pending"" counts."
"Source: Department of Homeland Security, U.S. Citizenship and Immigration Services, CLAIMS3 & ELIS, accessed April 2020."

,,Accepted to Date1,,Approved to Date2,,
Top Countries of Origin,Initials,Renewals,Total,Initials,Renewals,Total
Country,,,,,,
Mexico,"710,049","1,492,645","2,202,694","650,353","1,440,861","2,091,214"
El Salvador,"34,597","72,160","106,757","29,777","69,564","99,341"
Guatemala,"24,978","47,999","72,977","20,981","46,195","67,176"
Honduras,"22,761","44,917","67,678","19,175","43,269","62,444"
South Korea,"9,589","22,099","31,688","9,011","21,167","30,178"
Peru,"9,860","21,223","31,083","9,299","20,489","29,788"
Brazil,"8,675","16,294","24,969","7,650","15,769","23,419"
Ecuador,"7,812","15,383","23,195","6,897","14,845","21,742"
Colombia,"7,312","14,592","21,904","6,757","14,146","20,903"
Philippines,"5,136","11,070","16,206","4,802","10,740","15,542"
Argentina,"5,273","10,580","15,853","4,952","10,258","15,210"
India,"3,791","7,838","11,629","3,263","7,538","10,801"
Jamaica,"4,471","7,159","11,630","3,552","6,919","10,471"
Venezuela,"3,501","6,967","10,468","3,201","6,709","9,910"
Dominican Republic,"3,858","6,184","10,042","3,286","6,016","9,302"
Trinidad And Tobago,"3,105","5,254","8,359","2,647","5,100","7,747"
Uruguay,"2,655","5,084","7,739","2,488","4,943","7,431"
Bolivia,"2,245","4,788","7,033","2,121","4,641","6,762"
Costa Rica,"2,297","4,517","6,814","2,108","4,376","6,484"
Chile,"1,918","3,927","5,845","1,800","3,807","5,607"
Poland,"2,016","3,840","5,856","1,871","3,715","5,586"
Pakistan,"1,958","3,839","5,797","1,737","3,706","5,443"
Nicaragua,"1,917","3,682","5,599","1,671","3,553","5,224"
Nigeria,"1,586","2,917","4,503","1,337","2,834","4,171"
Guyana,"1,501","2,822","4,323","1,308","2,709","4,017"
All Others 3,"29,276","48,993","78,269","23,954","47,096","71,050"
Total,"912,137","1,886,773","2,798,910","825,998","1,820,965","2,646,963"

Table Key,
D Data withheld to protect petitioners' privacy.,
- Represents zero.,
Footnotes,
1,The number of requests that were accepted to date of the reporting period.
2,The number of requests that were approved to date of the reporting period.
3,"All fields with a blank in the country of birth field are included in the field ""All Others."""
NOTE: 1) Some requests approved or denied may have been received in previous reporting periods.,
,2) The report reflects the most up-to-date estimate data available at the time the report is generated.
,3) Ranked by total approvals.
,"4) USCIS previously discovered that the query code used to generate this report had some flaws affecting the data in the “Approved” and ""Denied"""
"fields, such that the data in this field was under reported because it did not include certain history action codes that are counted as approvals or denials.",
USCIS believes that it has corrected this issue in the query code and that this report provides a more accurate reflection of approved and denied cases.,
"Note that if this report is compared to versions prior to the March 31, 2019 version that USCIS has published on its website, the prior versions reflect under",
"reported data in the “Approved” and ""Denied"" fields.",
"Source: Department of Homeland Security, U.S. Citizenship and Immigration Services, CLAIMS3 & ELIS, accessed April 2020.",

,,Accepted to Date1,,Approved to Date2,,
Residence,Initials,Renewals,Total,Initials,Renewals,Total
Residence,,,,,,
California,"256,779","541,329","798,108","238,432","522,162","760,594"
Texas,"150,458","306,380","456,838","134,058","296,354","430,412"
Illinois,"48,072","100,053","148,125","45,002","97,003","142,005"
New York,"46,773","86,865","133,638","40,807","83,987","124,794"
Florida,"38,462","73,259","111,721","32,646","70,903","103,549"
Arizona,"33,430","70,425","103,855","30,358","67,571","97,929"
North Carolina,"31,997","69,500","101,497","29,665","67,232","96,897"
Georgia,"30,383","60,720","91,103","25,743","58,323","84,066"
New Jersey,"25,293","49,680","74,973","22,171","48,058","70,229"
Washington,"20,960","45,005","65,965","19,308","43,442","62,750"
Colorado,"20,433","42,704","63,137","18,555","41,107","59,662"
Nevada,"15,292","34,383","49,675","14,278","33,173","47,451"
Virginia,"13,897","28,483","42,380","12,368","27,411","39,779"
Oregon,"12,795","28,616","41,411","12,060","27,595","39,655"
Indiana,"11,711","25,516","37,227","10,771","24,536","35,307"
Utah,"11,607","24,634","36,241","10,688","23,689","34,377"
Maryland,"11,498","23,472","34,970","9,932","22,687","32,619"
Tennessee,"10,151","21,350","31,501","9,123","20,554","29,677"
Wisconsin,"8,772","18,857","27,629","8,205","18,158","26,363"
Oklahoma,"8,125","17,560","25,685","7,490","16,950","24,440"
Massachusetts,"8,865","16,830","25,695","7,684","16,257","23,941"
Kansas,"7,797","16,488","24,285","7,315","15,943","23,258"
South Carolina,"7,736","16,500","24,236","6,930","15,937","22,867"
New Mexico,"8,266","15,506","23,772","7,616","14,994","22,610"
Minnesota,"7,099","15,506","22,605","6,500","14,863","21,363"
Michigan,"7,124","15,413","22,537","6,443","14,823","21,266"
Pennsylvania,"6,643","13,185","19,828","5,699","12,703","18,402"
Arkansas,"6,019","13,242","19,261","5,479","12,773","18,252"
Connecticut,"5,465","10,797","16,262","4,886","10,479","15,365"
Alabama,"5,283","11,021","16,304","4,707","10,623","15,330"
Ohio,"5,328","10,904","16,232","4,630","10,410","15,040"
Missouri,"4,045","8,737","12,782","3,748","8,397","12,145"
Nebraska,"4,007","8,495","12,502","3,635","8,143","11,778"
